nga, polity, time
Konya Plain, TrByzM1, 632, 866
Konya Plain, TrByzM2, 867, 1072
Konya Plain, TrRum, 1093, 1243
Konya Plain, IrIlkhn, 1263, 1326
Konya Plain, TrOttm1, 1393, 1402
Konya Plain, TrOttm2, 1421, 1516
Konya Plain, TrOttm3, 1517, 1682
Konya Plain, TrOttm4, 1683, 1838
Konya Plain, TrOttm5, 1839, 1922
Garo Hills, InGaroE, 1775, 1867 
Garo Hills, InGaroL, 1868, 1956 

