,NGA,PolID,Time,Gauss1,Gauss2
18,Cahokia,USMisSd,1300,0.981896059,0.018103941
408,Valley of Oaxaca,MxAlb3B,500,0.9813282597,0.0186717403
316,Susiana,IrSusa1,-4300,0.9794067609,0.0205932391
406,Valley of Oaxaca,MxAlb2*,-100,0.9780025203,0.0219974797
87,Kachi Plain,PkProto,-1300,0.9775818222,0.0224181778
239,North Colombia,CoTairo,1400,0.9770002155,0.0229997845
264,Paris Basin,FrHallD,-600,0.9644547516,0.0355452484
251,Orkhon Valley,MnMongE,1200,0.9612217353,0.0387782647
325,Susiana,IrSusa3,-3100,0.9560796415,0.0439203585
409,Valley of Oaxaca,MxAlb3B,700,0.9536747373,0.0463252627
184,Lowland Andes,EcJivaL,1900,0.9535752864,0.0464247136
364,Upper Egypt,EgNaqa1,-3600,0.9498046104,0.0501953896
363,Upper Egypt,EgNaqa1,-3700,0.9494638113,0.0505361887
70,Finger Lakes,UsIroqE,1600,0.9481785846,0.0518214154
320,Susiana,IrSusa2,-3600,0.9333331001,0.0666668999
16,Cahokia,USCahoE,1100,0.9285679324,0.0714320676
340,Susiana,IrNElm3,-600,0.9271122001,0.0728877999
17,Cahokia,USCahoL,1200,0.9268531069,0.0731468931
240,Orkhon Valley,MnXngnE,-1400,0.9171492741,0.0828507259
241,Orkhon Valley,MnXngnE,-400,0.915191889,0.084808111
223,Niger Inland Delta,MlJeJe4,900,0.9147834866,0.0852165134
319,Susiana,IrSusa2,-3700,0.9145007773,0.0854992227
6,Big Island Hawaii,Hawaii3,1700,0.9128082295,0.0871917705
407,Valley of Oaxaca,MxAlb3A,200,0.9082242299,0.0917757701
375,Upper Egypt,EgRegns,-2100,0.881231651,0.118768349
324,Susiana,IrSusa2,-3200,0.8689484792,0.1310515208
321,Susiana,IrSusa2,-3500,0.8608992069,0.1391007931
365,Upper Egypt,EgNaqa2,-3500,0.8401770734,0.1598229266
322,Susiana,IrSusa2,-3400,0.8260345045,0.1739654955
368,Upper Egypt,EgNaqa3,-3200,0.8070696997,0.1929303003
367,Upper Egypt,EgNaqa3,-3300,0.8067110097,0.1932889903
7,Big Island Hawaii,USKameh,1800,0.804598717,0.195401283
132,Konya Plain,TrTabal,-900,0.8038388041,0.1961611959
323,Susiana,IrSusa2,-3300,0.8037185511,0.1962814489
71,Finger Lakes,UsIroqE,1700,0.7929492047,0.2070507953
124,Konya Plain,TrBrzER,-3000,0.7897932665,0.2102067335
131,Konya Plain,TrNHitt,-1100,0.7584235987,0.2415764013
366,Upper Egypt,EgNaqa2,-3400,0.7412380303,0.2587619697
39,Chuuk Islands,FmTrukL,1900,0.733990508,0.266009492
413,Yemeni Coastal Plain,YeOttoL,1900,0.7241813744,0.2758186256
182,Lena River Valley,RuYakuL,1900,0.7208110363,0.2791889637
77,Iceland,IsCommw,1000,0.7025699245,0.2974300755
186,Middle Yellow River Valley,CnLngsh,-3000,0.6901627397,0.3098372603
125,Konya Plain,TrBrzMD,-2000,0.6576906218,0.3423093782
156,Latium,ItRomRg,-700,0.6573730839,0.3426269161
266,Paris Basin,FrTeneB,-300,0.6357678352,0.3642321648
78,Iceland,IsCommw,1100,0.6147313615,0.3852686385
157,Latium,ItRomRg,-600,0.6042946531,0.3957053469
79,Iceland,IsCommw,1200,0.5974465425,0.4025534575
265,Paris Basin,FrTeneA,-400,0.5863250092,0.4136749908
334,Susiana,IrMElm1,-1500,0.5170291497,0.4829708503
